time_fs,n_min,n_max,vx_rms,vz_rms,energy_em,energy_fluid
0,0,3e+26,0,0,0,0
0.5000125787,0,3e+26,0,0,32846.44272,0
1.000025157,0,3e+26,0,0,245172.9248,0
1.500037736,0,3e+26,0,0,746723.3145,0
2.000050315,0,3e+26,0,0,1536910.14,0
2.500062894,0,3e+26,0,0,2505038.712,0
3.000075472,0,3e+26,0,0,3472534.238,0
3.500088051,0,3e+26,0,0,4261063.419,0
4.00010063,0,3e+26,0,0,4760563.912,0
4.500113208,0,3e+26,0,0,4971230.228,0
5.000125787,0,3e+26,0,0,5003439.53,0
5.500138366,0,3e+26,0,0,5035645.641,0
6.000150944,0,3e+26,0,0,5246303.604,0
6.500163523,0,3e+26,0,0,5745793.767,0
7.000176102,0,3e+26,0,0,6534314.582,0
7.500188681,0,3e+26,0,0,7501806.898,0
8.000201259,0,3e+26,0,0,8469938.639,0
8.500213838,0,3e+26,0,0,9260133.804,0
9.000226417,0,3e+26,0,0,9761694.524,0
9.500238995,0,3e+26,0,0,9974029.385,0
10.00025157,0,3e+26,0,0,10006879.04,0
10.50026415,0,3e+26,0,0,10038453.05,0
11.00027673,0,3e+26,0,0,10247447.57,0
11.50028931,0,3e+26,0,0,10744877.51,0
12.00030189,0,3e+26,0,0,11531727.26,0
12.50031447,0,3e+26,0,0,12498575.11,0
13.00032705,0,3e+26,0,0,13467334.86,0
13.50033963,0,3e+26,0,0,14259190.91,0
14.0003522,0,3e+26,1.245732393e-143,0,14762811.83,5.301146159e-295
14.50036478,0,3e+26,7.20739326e-104,0,14976820.29,1.774502853e-215
15.00037736,0,3e+26,2.648362336e-69,1.889066604e-145,15010318.5,2.395935205e-146
15.50038994,0,3e+26,3.285780674e-40,3.652236908e-87,15041268.61,3.688055136e-88
16.00040252,0,3e+26,3.811307933e-17,6.266223431e-41,15248604.8,4.96213232e-42
16.5004151,0,3e+26,0.2381216631,3.112426998e-09,15743974.57,1.936948516e-10
17.00042768,0,3.000328265e+26,141082.0255,805.0147412,16529080.23,67.99155077
17.50044025,0,3.014168759e+26,1398264.954,52630.91297,17488671.07,6672.669578
18.00045283,0,3.093433965e+26,4294153.147,400643.9037,18402112.48,62605.50952
18.50046541,0,3.325851619e+26,8717908.834,1444966.962,19004070.51,254118.1991
19.00047799,0,3.842359059e+26,14112243.81,3481197.922,19119926.46,643992.7244
19.50049057,0,4.877041832e+26,19643777.78,6440770.221,18808154.83,1172376.66
20.00050315,0,6.872315067e+26,24419139.94,9817252.245,18384702.99,1633834.876
20.50051573,0,1.05556499e+27,27662447.33,12783389.15,18255591.79,1804043.378
21.00052831,0,1.655828158e+27,28781197.7,14391917.65,18659356.14,1629427.783
21.50054088,0,2.747919163e+27,27345152.54,13837669.96,19565641.07,1254696.364
22.00055346,0,7.062914374e+27,23079705.9,10881876.8,20777640.93,858428.5118
22.50056604,0,4.788264805e+27,15968555.53,6824355.341,22001172.47,565112.6827
23.00057862,0,3.141780179e+27,6642814.708,6488680.471,22949616.81,470582.381
23.5005912,0,2.227843775e+27,5688983.687,9649676.764,23357637.5,710675.9817
