z,Ex,Ez,By,ne,vx,vz,Pe
0,5.230654424e+11,69504.03701,1789.891881,538892.7763,0,-516172979.6,8.634014145e-12
2e-09,5.423347231e+11,69504.03701,1824.725486,538892.7763,-162810587.9,-516172979.6,8.634014145e-12
4e-09,5.499599745e+11,928778.7189,1845.18708,538700.9029,-162159876.1,-515699267.1,8.630939993e-12
6e-09,5.754683358e+11,-2736339.931,1860.98639,538721.4,-161503797.3,-515226498.3,8.631268393e-12
8e-09,5.816861466e+11,95649.3678,1878.569267,538707.2025,-160841436.1,-514754395.5,8.631040924e-12
1e-08,6.039174006e+11,73462.60692,1921.800287,538658.448,-160173956.2,-514283199.2,8.630259791e-12
1.2e-08,6.249408959e+11,124799.2619,1928.899652,538573.7669,-159491776.7,-513816090,8.62890305e-12
1.4e-08,6.339724092e+11,133326.7425,1958.123812,538454.0898,-158805078.9,-513348583.5,8.626985611e-12
1.6e-08,6.621139102e+11,146283.8596,1975.48897,538301.9266,-158109930.7,-512882937.9,8.624547689e-12
1.8e-08,6.710363062e+11,160233.3076,1989.887054,538118.4555,-157407010.9,-512417824.4,8.621608157e-12
2e-08,6.944606835e+11,172147.8022,2026.190026,537906.2161,-156699389.2,-511952453.7,8.618207708e-12
2.2e-08,7.145251058e+11,184387.0163,2031.260993,537666.1074,-155979553,-511489356.9,8.614360741e-12
2.4e-08,7.259568606e+11,195722.1029,2056.992937,537399.9558,-155256445.9,-511024833.7,8.610096523e-12
2.6e-08,7.535484429e+11,207914.66,2063.819432,537110.2339,-154525906.4,-510561045.8,8.605454667e-12
2.8e-08,7.57676872e+11,218921.7077,2073.562307,536798.6838,-153791265.6,-510095881.6,8.600463083e-12
3e-08,7.789456816e+11,231247.7558,2107.566476,536467.7499,-153055108.5,-509629659.3,8.595160937e-12
3.2e-08,7.947538914e+11,241894.718,2113.407772,536116.8535,-152307761.6,-509165651.3,8.589538958e-12
3.4e-08,8.018317916e+11,254593.2778,2143.396309,535746.2008,-151557351.5,-508700779.5,8.583600447e-12
3.6e-08,8.263162368e+11,264914.8641,2153.732848,535356.6005,-150798882.4,-508237950,8.577358362e-12
3.8e-08,8.274854394e+11,277878.1269,2164.71477,534948.3508,-150034706,-507775185.9,8.570817481e-12
4e-08,8.459219718e+11,288765.6383,2194.64043,534523.3231,-149268535.7,-507312468.6,8.564007786e-12
4.2e-08,8.578545954e+11,301714.3906,2201.53962,534081.2547,-148492142.4,-506852335.2,8.55692507e-12
4.4e-08,8.672098514e+11,312749.7332,2231.93179,533622.533,-147712309.2,-506392181.9,8.549575538e-12
4.6e-08,8.937413907e+11,326076.864,2237.355663,533148.092,-146922972.9,-505934418.7,8.541974155e-12
4.8e-08,8.941501045e+11,337538.309,2245.821551,532659.5584,-146128362.1,-505475834.9,8.534146984e-12
5e-08,9.15995185e+11,351178.6082,2269.880519,532160.1132,-145333419.9,-505016516,8.526144989e-12
5.2e-08,9.285690192e+11,363262.0555,2272.159351,531650.0976,-144529172.8,-504558501.6,8.517973639e-12
5.4e-08,9.379495655e+11,376991.1037,2301.937155,531130.4542,-143723209.3,-504099078.5,8.509648034e-12
5.6e-08,9.659384872e+11,389808.0658,2311.127242,530601.8771,-142908799.3,-503641268.6,8.501179294e-12
